palle ID,palle Name,Upabasti ID,Created On,Updated On
9020644129,NPA Colony,9020644129,07-Jan-21,07-Jan-21
9020645130,Prashant Nagar,9020645130,07-Jan-21,07-Jan-21
9020645131,9.No,9020645131,07-Jan-21,07-Jan-21
9020645132,Sikh Chowni,9020645132,07-Jan-21,07-Jan-21
9020645133,BUDVEL,9020645133,07-Jan-21,07-Jan-21
9020645134,Bhagavat Guda,9020645134,07-Jan-21,07-Jan-21
9020646135,Shri Krishna Colony,9020646135,07-Jan-21,07-Jan-21
9020646136,Kishthamma Gutta,9020646136,07-Jan-21,07-Jan-21
9020646137,bansilal nagar,9020646137,07-Jan-21,07-Jan-21
9020647138,Hanuman Nagar,9020647138,07-Jan-21,07-Jan-21
9020647139,Gandhinagar,9020647139,07-Jan-21,07-Jan-21
9020647140,ARI,9020647140,07-Jan-21,07-Jan-21
9020748141,Urdu galli,9020748141,07-Jan-21,07-Jan-21
9020748142,Patel market,9020748142,07-Jan-21,07-Jan-21
9020748143,Rikab gunj-1,9020748143,07-Jan-21,07-Jan-21
9020748144,High court road,9020748144,07-Jan-21,07-Jan-21
9020748145,Mamajumla pathak,9020748145,07-Jan-21,07-Jan-21
9020748146,Char kaman,9020748146,07-Jan-21,07-Jan-21
9020748147,Mittika-sher,9020748147,07-Jan-21,07-Jan-21
9020748148,Chakker kota,9020748148,07-Jan-21,07-Jan-21
9020748149,Bandi ka adda,9020748149,07-Jan-21,07-Jan-21
9020748150,Kokkar wadi,9020748150,07-Jan-21,07-Jan-21
9020748151,Miralam mandi,9020748151,07-Jan-21,07-Jan-21
9020748152,Maidan ka chowk,9020748152,07-Jan-21,07-Jan-21
9020749153,Rikab gunj-2,9020749153,07-Jan-21,07-Jan-21
9020749154,Jhula,9020749154,07-Jan-21,07-Jan-21
9020749155,chelapura road,9020749155,07-Jan-21,07-Jan-21
9020749156,Anand galli(Mehndi),9020749156,07-Jan-21,07-Jan-21
9020750157,Darji galli,9020750157,07-Jan-21,07-Jan-21
9020750158,Shah gunj,9020750158,07-Jan-21,07-Jan-21
9020751159,Baragalli,9020751159,07-Jan-21,07-Jan-21
9020751160,Yadava galli,9020751160,07-Jan-21,07-Jan-21
9020751161,Unchva galli,9020751161,07-Jan-21,07-Jan-21
9020751162,Gulabh singh bowli,9020751162,07-Jan-21,07-Jan-21
9020751163,Moosa bowli,9020751163,07-Jan-21,07-Jan-21
9020751164,Donger singh tabela,9020751164,07-Jan-21,07-Jan-21
9020752165,Maharaj gunj,9020752165,07-Jan-21,07-Jan-21
9020752166,umdabazar,9020752166,07-Jan-21,07-Jan-21
9020752167,Fateh darwaza,9020752167,07-Jan-21,07-Jan-21
9020752168,chandulal baradari,9020752168,07-Jan-21,07-Jan-21
9020752169,Chatakni pura,9020752169,07-Jan-21,07-Jan-21
9020752170,kamati pura,9020752170,07-Jan-21,07-Jan-21
9020752171,Mochi basthi,9020752171,07-Jan-21,07-Jan-21
9020752172,Osman bagh,9020752172,07-Jan-21,07-Jan-21
9020753173,Taramaidan,9020753173,07-Jan-21,07-Jan-21
9020753174,Hussaaini alam,9020753174,07-Jan-21,07-Jan-21
9020753175,Ratnabai galli,9020753175,07-Jan-21,07-Jan-21
9020753176,Chinnabazar,9020753176,07-Jan-21,07-Jan-21
9020753177,shipligunj,9020753177,07-Jan-21,07-Jan-21
9020754178,Pardi wada,9020754178,07-Jan-21,07-Jan-21
9020754179,shiv nagar,9020754179,07-Jan-21,07-Jan-21
9020754180,Puranapool darwaza,9020754180,07-Jan-21,07-Jan-21
9020754181,SV nagar,9020754181,07-Jan-21,07-Jan-21
9020754182,Chandrikapur,9020754182,07-Jan-21,07-Jan-21
9020754183,gollakidiki,9020754183,07-Jan-21,07-Jan-21
9020754184,Murli nagar,9020754184,07-Jan-21,07-Jan-21
9020754185,Devibagh basthi,9020754185,07-Jan-21,07-Jan-21
9030101001,Maheshwaram,9030101001,07-Jan-21,07-Jan-21
9030101002,Thummalur,9030101002,07-Jan-21,07-Jan-21
9030101003,Prem Nagar,9030101003,07-Jan-21,07-Jan-21
9030101004,Mak Villas,9030101004,07-Jan-21,07-Jan-21
9030102005,Kothwal Cheru thanda,9030102005,07-Jan-21,07-Jan-21
9030102006,N.D. thanda,9030102006,07-Jan-21,07-Jan-21
9030102007,K.B. Thanda (P),9030102007,07-Jan-21,07-Jan-21
9030102008,D.G. Thanda (P),9030102008,07-Jan-21,07-Jan-21
9030103009,Sirigipuram,9030103009,07-Jan-21,07-Jan-21
9030103010,Harshaguda,9030103010,07-Jan-21,07-Jan-21
9030103011,Gangaram,9030103011,07-Jan-21,07-Jan-21
9030103012,Gangaram Thanda (P),9030103012,07-Jan-21,07-Jan-21
9030103013,M.B. Thanda (P),9030103013,07-Jan-21,07-Jan-21
9030103014,Jandamarri (P),9030103014,07-Jan-21,07-Jan-21
9030104015,Mankhal,9030104015,07-Jan-21,07-Jan-21
9030104016,Thukkuguda,9030104016,07-Jan-21,07-Jan-21
9030104017,Laxmi Nagar,9030104017,07-Jan-21,07-Jan-21
9030104018,Srinagar (P),9030104018,07-Jan-21,07-Jan-21
9030104019,Bavannakunta T (P),9030104019,07-Jan-21,07-Jan-21
9030104020,Babasai Thanda (P),9030104020,07-Jan-21,07-Jan-21
9030104021,Ramki Vilas,9030104021,07-Jan-21,07-Jan-21
9030104022,Vishal Vilas,9030104022,07-Jan-21,07-Jan-21
9030104023,Prajaya Vilas,9030104023,07-Jan-21,07-Jan-21
9030105024,Raviryala,9030105024,07-Jan-21,07-Jan-21
9030105025,Jennaiguda (P),9030105025,07-Jan-21,07-Jan-21
9030105026,Sardar Nagar,9030105026,07-Jan-21,07-Jan-21
9030105027,Devendra Nagar,9030105027,07-Jan-21,07-Jan-21
9030105028,RCI Colony,9030105028,07-Jan-21,07-Jan-21
9030105029,Housing B  Colony,9030105029,07-Jan-21,07-Jan-21
9030106030,lemoor,9030106030,07-Jan-21,07-Jan-21
9030106031,agharmiya guda,9030106031,07-Jan-21,07-Jan-21
9030106032,bhairagi guda,9030106032,07-Jan-21,07-Jan-21
9030106033,saraswathi guda,9030106033,07-Jan-21,07-Jan-21
9030207034,ameerpet,9030207034,07-Jan-21,07-Jan-21
9030207035,nalla chervu thanda (P),9030207035,07-Jan-21,07-Jan-21
9030207036,manikyamma guda,9030207036,07-Jan-21,07-Jan-21
9030207037,peddamma thanda,9030207037,07-Jan-21,07-Jan-21
9030207038,chinna thupra,9030207038,07-Jan-21,07-Jan-21
9030208039,nagireddy pally,9030208039,07-Jan-21,07-Jan-21
9030208040,pulli maktha,9030208040,07-Jan-21,07-Jan-21
9030208041,golluuru,9030208041,07-Jan-21,07-Jan-21
9030208042,nagireddy pally thanda (P),9030208042,07-Jan-21,07-Jan-21
9030208043,venkanna guda (P),9030208043,07-Jan-21,07-Jan-21
9030208044,bhagiradha guda (P),9030208044,07-Jan-21,07-Jan-21
9030209045,nagaram,9030209045,07-Jan-21,07-Jan-21
9030209046,nandhi pally,9030209046,07-Jan-21,07-Jan-21
9030209047,padamti thanda,9030209047,07-Jan-21,07-Jan-21
9030209048,thigalakunta thanda (P),9030209048,07-Jan-21,07-Jan-21
9030209049,enugu cheruvu thanda (P),9030209049,07-Jan-21,07-Jan-21
9030209050,ntr thanda (P),9030209050,07-Jan-21,07-Jan-21
9030210051,dabil guda,9030210051,07-Jan-21,07-Jan-21
9030210052,vivekananda nager (P),9030210052,07-Jan-21,07-Jan-21
9030210053,ramachandra guda,9030210053,07-Jan-21,07-Jan-21
9030210054,k k basthi (P),9030210054,07-Jan-21,07-Jan-21
9030210055,pendyala,9030210055,07-Jan-21,07-Jan-21
9030210056,kalwakolu,9030210056,07-Jan-21,07-Jan-21
9030211057,gattu palli,9030211057,07-Jan-21,07-Jan-21
9030211058,mansan palli,9030211058,07-Jan-21,07-Jan-21
9030211059,uppugada thanda,9030211059,07-Jan-21,07-Jan-21
9030211060,hanuman thada (P),9030211060,07-Jan-21,07-Jan-21
9030211061,kotha thanda (P),9030211061,07-Jan-21,07-Jan-21
9030211062,akan palli,9030211062,07-Jan-21,07-Jan-21
9030212063,dubbacherla,9030212063,07-Jan-21,07-Jan-21
9030212064,subhash pur,9030212064,07-Jan-21,07-Jan-21
9030212065,janda guda,9030212065,07-Jan-21,07-Jan-21
9030212066,kallem chervu thanda (P),9030212066,07-Jan-21,07-Jan-21
9030212067,lilly pur (P),9030212067,07-Jan-21,07-Jan-21
9030212068,ayawari palli (P),9030212068,07-Jan-21,07-Jan-21
9030212069,kolla padakal,9030212069,07-Jan-21,07-Jan-21
9030212070,porandla,9030212070,07-Jan-21,07-Jan-21
9030213071,siddapur,9030213071,07-Jan-21,07-Jan-21
9030213072,palugu gudem,9030213072,07-Jan-21,07-Jan-21
9030213073,bhairkhan pally,9030213073,07-Jan-21,07-Jan-21
9030213074,chinthagattu thanda (P),9030213074,07-Jan-21,07-Jan-21
9030213075,pittela maisamma thanda (P),9030213075,07-Jan-21,07-Jan-21
9030213076,pulicherla kunta thanda (P),9030213076,07-Jan-21,07-Jan-21
9030213077,enugula madugula thanda,9030213077,07-Jan-21,07-Jan-21
9030314078,palmakula,9030314078,07-Jan-21,07-Jan-21
9030314079,pedda thupra ,9030314079,07-Jan-21,07-Jan-21
9030314080,pedda thupra thanda,9030314080,07-Jan-21,07-Jan-21
9030314081,muchinthal,9030314081,07-Jan-21,07-Jan-21
9030314082,enam sheri (P),9030314082,07-Jan-21,07-Jan-21
9030314083,mekkala banda thanda (P),9030314083,07-Jan-21,07-Jan-21
9030314084,gachubai thanda (P),9030314084,07-Jan-21,07-Jan-21
9030314085,acham peta (P),9030314085,07-Jan-21,07-Jan-21
9030314086,madan palli,9030314086,07-Jan-21,07-Jan-21
9030314087,madan pelli thanda,9030314087,07-Jan-21,07-Jan-21
9030314088,pilloni guda,9030314088,07-Jan-21,07-Jan-21
9030315089,ramanja pur,9030315089,07-Jan-21,07-Jan-21
9030315090,malkaram,9030315090,07-Jan-21,07-Jan-21
9030315091,nanaji pur,9030315091,07-Jan-21,07-Jan-21
9030315092,maktha guda,9030315092,07-Jan-21,07-Jan-21
9030315093,ramanja pur thanda (P),9030315093,07-Jan-21,07-Jan-21
9030315094,boti guda (P),9030315094,07-Jan-21,07-Jan-21
9030315095,kaveli guda (P),9030315095,07-Jan-21,07-Jan-21
9030315096,pedda gutta thanda (P),9030315096,07-Jan-21,07-Jan-21
9030315097,gudur,9030315097,07-Jan-21,07-Jan-21
9030315098,maddur,9030315098,07-Jan-21,07-Jan-21
9030315099,suli pet,9030315099,07-Jan-21,07-Jan-21
9030316100,narkuda,9030316100,07-Jan-21,07-Jan-21
9030316101,raianna guda (P),9030316101,07-Jan-21,07-Jan-21
9030316102,kavva guda,9030316102,07-Jan-21,07-Jan-21
9030316103,sulthan palli,9030316103,07-Jan-21,07-Jan-21
9030316104,kacharam,9030316104,07-Jan-21,07-Jan-21
9030316105,chowdhar guda,9030316105,07-Jan-21,07-Jan-21
9030317106,pedda sha pur,9030317106,07-Jan-21,07-Jan-21
9030317107,jukal,9030317107,07-Jan-21,07-Jan-21
9030317108,alikol thanda,9030317108,07-Jan-21,07-Jan-21
9030317109,erra kunta thanda (P),9030317109,07-Jan-21,07-Jan-21
9030317110,gandi guda (P),9030317110,07-Jan-21,07-Jan-21
9030317111,burjju gadda (P),9030317111,07-Jan-21,07-Jan-21
9030317112,ghansmia guda,9030317112,07-Jan-21,07-Jan-21
9030317113,pedda sha pur thanda,9030317113,07-Jan-21,07-Jan-21
9030318114,china golkonda,9030318114,07-Jan-21,07-Jan-21
9030318115,hamidulla nagar,9030318115,07-Jan-21,07-Jan-21
9030318116,kotha guda,9030318116,07-Jan-21,07-Jan-21
9030318117,sanghi guda (P),9030318117,07-Jan-21,07-Jan-21
9030318118,poshetti guda (P),9030318118,07-Jan-21,07-Jan-21
9030318119,laxmi thanda (P),9030318119,07-Jan-21,07-Jan-21
9030318120,bhadur guda,9030318120,07-Jan-21,07-Jan-21
9030318121,pedda golkonda,9030318121,07-Jan-21,07-Jan-21
9030318122,shankara pur,9030318122,07-Jan-21,07-Jan-21
9030419123,kandukur ,9030419123,07-Jan-21,07-Jan-21
9030419124,kotha guda,9030419124,07-Jan-21,07-Jan-21
9030419125,kandukur X road  ,9030419125,07-Jan-21,07-Jan-21
