Palle ID,Palle Naem,Upabasti ID,created on,modified on
80103028090,VST colony,80103028090,08-Jan-21,08-Jan-21
80103029091,HMT Nagar,80103029091,08-Jan-21,08-Jan-21
80103029092,IICT colony,80103029092,08-Jan-21,08-Jan-21
80103029093,Bapuji Nagar,80103029093,08-Jan-21,08-Jan-21
80103029094,Sarswathi Nagar colony,80103029094,08-Jan-21,08-Jan-21
80103029095,Nagendra Nagar,80103029095,08-Jan-21,08-Jan-21
80104030096,Mallapur,80104030096,08-Jan-21,08-Jan-21
80104030097,Old Mallapur,80104030097,08-Jan-21,08-Jan-21
80104030098,May Flower Heights,80104030098,08-Jan-21,08-Jan-21
80104031099,Bhavani Nagar ,80104031099,08-Jan-21,08-Jan-21
80104031100,Janapriya Apartments,80104031100,08-Jan-21,08-Jan-21
80104031101,SV Nagar,80104031101,08-Jan-21,08-Jan-21
80104031102,New Bhavani nagar,80104031102,08-Jan-21,08-Jan-21
80104032103,K L Reddy Nagar,80104032103,08-Jan-21,08-Jan-21
80104032104,HCL Colony,80104032104,08-Jan-21,08-Jan-21
80104032105,Green Hills colony,80104032105,08-Jan-21,08-Jan-21
80104033106,Surya Nagar Colony,80104033106,08-Jan-21,08-Jan-21
80104033107,Bank Colony,80104033107,08-Jan-21,08-Jan-21
80104033108,Venkataramana colony,80104033108,08-Jan-21,08-Jan-21
80104034109,Gokul Nagar,80104034109,08-Jan-21,08-Jan-21
80104034110,Shakti sai Nagar,80104034110,08-Jan-21,08-Jan-21
80104034111,chanikyapuri colony,80104034111,08-Jan-21,08-Jan-21
80104035112,Narasihma Nagar,80104035112,08-Jan-21,08-Jan-21
80104035113,Annapurna Colony,80104035113,08-Jan-21,08-Jan-21
80104035114,NTR Nagar,80104035114,08-Jan-21,08-Jan-21
80105036115,Boduppal,80105036115,08-Jan-21,08-Jan-21
80105036116,Penta Reddy Colony,80105036116,08-Jan-21,08-Jan-21
80105036117,Saraswathi Colony,80105036117,08-Jan-21,08-Jan-21
80105036118,Ram Reddy Nagar,80105036118,08-Jan-21,08-Jan-21
80105036119,Vijaypuri Colony,80105036119,08-Jan-21,08-Jan-21
80105037120,Maruthi Nagar,80105037120,08-Jan-21,08-Jan-21
80105037121,Vivekananda Nagar,80105037121,08-Jan-21,08-Jan-21
80105037122,NIN Colony,80105037122,08-Jan-21,08-Jan-21
80105037123,Lecturers Colony,80105037123,08-Jan-21,08-Jan-21
80105037124,Sri Laxmi Nagar,80105037124,08-Jan-21,08-Jan-21
80105038125,Ashok Nagar,80105038125,08-Jan-21,08-Jan-21
80105038126,Prashanthi Nagar,80105038126,08-Jan-21,08-Jan-21
80105038127,Uday Nagar,80105038127,08-Jan-21,08-Jan-21
80105038128,Vinayk Nagar,80105038128,08-Jan-21,08-Jan-21
80105039129,Laxmi Nagar,80105039129,08-Jan-21,08-Jan-21
80105039130,Keshav Nagar Phase -1,80105039130,08-Jan-21,08-Jan-21
80105039131,Hanuman Nagar ,80105039131,08-Jan-21,08-Jan-21
80105039132,Venkateshwar Colony,80105039132,08-Jan-21,08-Jan-21
80105039133,Sai Maruthi Nagar,80105039133,08-Jan-21,08-Jan-21
80105039134,Anjaneya Nagar,80105039134,08-Jan-21,08-Jan-21
80105039135,Brundavan Colony,80105039135,08-Jan-21,08-Jan-21
80105040136,Srinivas Nagar,80105040136,08-Jan-21,08-Jan-21
80105040137,Raghavendra Nagar,80105040137,08-Jan-21,08-Jan-21
80105040138,Sai Ram Nagar Colony,80105040138,08-Jan-21,08-Jan-21
80105040139,Sai Bhavani Colony,80105040139,08-Jan-21,08-Jan-21
80105041140,Veerareddy Nagar,80105041140,08-Jan-21,08-Jan-21
80105041141,Sapthagiri Hills,80105041141,08-Jan-21,08-Jan-21
80105041142,Jyothi Nagar,80105041142,08-Jan-21,08-Jan-21
80105041143,Indra Nagar,80105041143,08-Jan-21,08-Jan-21
80105041144,Kalakarula Colony,80105041144,08-Jan-21,08-Jan-21
80105042145,Ambedkar Nagar,80105042145,08-Jan-21,08-Jan-21
80105042146,Devender Nagar,80105042146,08-Jan-21,08-Jan-21
80105042147,Devender Nagar Phase 2,80105042147,08-Jan-21,08-Jan-21
80105042148,Rajeev Nagar Phase -2,80105042148,08-Jan-21,08-Jan-21
80105042149,Sri Ram Nagar,80105042149,08-Jan-21,08-Jan-21
80105043150,Annapurna Colony,80105043150,08-Jan-21,08-Jan-21
80105043151,Padmavathi Colony,80105043151,08-Jan-21,08-Jan-21
80105043152,RNS Colony,80105043152,08-Jan-21,08-Jan-21
80105043153,CCMB Colony,80105043153,08-Jan-21,08-Jan-21
80105043154,Rajalingam Colony,80105043154,08-Jan-21,08-Jan-21
80105044155,Venkatreddy Nagar,80105044155,08-Jan-21,08-Jan-21
80105044156,BL Nagar,80105044156,08-Jan-21,08-Jan-21
80105044157,SBR Colony,80105044157,08-Jan-21,08-Jan-21
80105044158,Telephone Colony,80105044158,08-Jan-21,08-Jan-21
80105044159,Privilege Colony,80105044159,08-Jan-21,08-Jan-21
80105045160,Bolligudem,80105045160,08-Jan-21,08-Jan-21
80105045161,Rajalingam Colony - Phase 2,80105045161,08-Jan-21,08-Jan-21
80105045162,Jayshree Nagar Colony,80105045162,08-Jan-21,08-Jan-21
80105045163,Kranthi Colony,80105045163,08-Jan-21,08-Jan-21
80105045164,Dwaraka Nagar,80105045164,08-Jan-21,08-Jan-21
80105046165,Chengicharla,80105046165,08-Jan-21,08-Jan-21
80105046166,Gandhi Nagar,80105046166,08-Jan-21,08-Jan-21
80105046167,MLR Colony,80105046167,08-Jan-21,08-Jan-21
80105046168,Sai Nagar Colony,80105046168,08-Jan-21,08-Jan-21
80105046169,RTC Colony,80105046169,08-Jan-21,08-Jan-21
80105046170,Bhagath Sing Colony,80105046170,08-Jan-21,08-Jan-21
80106047171,Medipally,80106047171,08-Jan-21,08-Jan-21
80106047172,Vinayaka Nagar,80106047172,08-Jan-21,08-Jan-21
80106047173,Maruthi Nagar,80106047173,08-Jan-21,08-Jan-21
80106047174,KranthiColony,80106047174,08-Jan-21,08-Jan-21
80106047175,Sai Nagar,80106047175,08-Jan-21,08-Jan-21
80106048176,Viharika Colony,80106048176,08-Jan-21,08-Jan-21
80106048177,Mallikarjun Nagar,80106048177,08-Jan-21,08-Jan-21
80106048178,Raghavendra Nagar,80106048178,08-Jan-21,08-Jan-21
80106048179,Bhagya Lakshmi Nagar,80106048179,08-Jan-21,08-Jan-21
80106048180,Swaraj Nagar,80106048180,08-Jan-21,08-Jan-21
80106048181,Sai Ram Nagar,80106048181,08-Jan-21,08-Jan-21
80106049182,Buddha Nagar Road no 1-2,80106049182,08-Jan-21,08-Jan-21
80106049183,Buddha Nagar Road no 2-3,80106049183,08-Jan-21,08-Jan-21
80106049184,Buddha Nagar Road no 3-4,80106049184,08-Jan-21,08-Jan-21
80106049185,Buddha Nagar Road no 4-5,80106049185,08-Jan-21,08-Jan-21
80106049186,"Buddha Nagar Road no 5, 6",80106049186,08-Jan-21,08-Jan-21
80106050187,P & T Phase 1,80106050187,08-Jan-21,08-Jan-21
80106050188,P &T phase 2,80106050188,08-Jan-21,08-Jan-21
80106050189,Kamala Nagar,80106050189,08-Jan-21,08-Jan-21
80106050190,Suma Residency,80106050190,08-Jan-21,08-Jan-21
80106050191,Sai Nagar,80106050191,08-Jan-21,08-Jan-21
80106051192,Canara Nagar,80106051192,08-Jan-21,08-Jan-21
80106051193,New sai Nagar colony,80106051193,08-Jan-21,08-Jan-21
80106051194,Annapurna Colony,80106051194,08-Jan-21,08-Jan-21
80106051195,Srinivas Nagar,80106051195,08-Jan-21,08-Jan-21
80106051196,Sri Ram Nagar,80106051196,08-Jan-21,08-Jan-21
80106051197,Bandi Sathaiah Colony,80106051197,08-Jan-21,08-Jan-21
80106052198,Shankar Nagar,80106052198,08-Jan-21,08-Jan-21
80106052199,Chenna Reddy Colony,80106052199,08-Jan-21,08-Jan-21
80106052200,Indra Nagar,80106052200,08-Jan-21,08-Jan-21
80106052201,Bank Colony,80106052201,08-Jan-21,08-Jan-21
80106052202,Sri Sai Nagar,80106052202,08-Jan-21,08-Jan-21
80106053203,Kurma Nagar,80106053203,08-Jan-21,08-Jan-21
80106053204,Gayathri Nagar,80106053204,08-Jan-21,08-Jan-21
80106053205,Brindavan Colony,80106053205,08-Jan-21,08-Jan-21
80106053206,Krishna Nagar,80106053206,08-Jan-21,08-Jan-21
80106053207,Uppal Hills,80106053207,08-Jan-21,08-Jan-21
80106054208,Sai Aishwarya Colony,80106054208,08-Jan-21,08-Jan-21
80106054209,Shabari Gardens,80106054209,08-Jan-21,08-Jan-21
80106054210,Narasimha Reddy Colony,80106054210,08-Jan-21,08-Jan-21
80106054211,Vishnupuri Colony,80106054211,08-Jan-21,08-Jan-21
80106054212,Aadarsh Nagar,80106054212,08-Jan-21,08-Jan-21
80106055213,Sai Priya Colony,80106055213,08-Jan-21,08-Jan-21
80106055214,Gandhi Hills,80106055214,08-Jan-21,08-Jan-21
80106055215,Lakshmi Nagar,80106055215,08-Jan-21,08-Jan-21
80106055216,Government Quoters,80106055216,08-Jan-21,08-Jan-21
80106055217,Balaji Colony,80106055217,08-Jan-21,08-Jan-21
80106056218,Panchavati Colony,80106056218,08-Jan-21,08-Jan-21
80106056219,Srinivas Nagar colony,80106056219,08-Jan-21,08-Jan-21
80106056220,Satyanarayan Puram,80106056220,08-Jan-21,08-Jan-21
80106056221,Kakatiya Nagar,80106056221,08-Jan-21,08-Jan-21
80106056222,Sri sai Nagar East,80106056222,08-Jan-21,08-Jan-21
80107057223,Ou colony,80107057223,08-Jan-21,08-Jan-21
80107057224,"Balaji nagar,Pratyusha colony",80107057224,08-Jan-21,08-Jan-21
80107057225,Vishwesharayya colony,80107057225,08-Jan-21,08-Jan-21
80107057226,Singaram X road,80107057226,08-Jan-21,08-Jan-21
80107058227,Choudary Guda,80107058227,08-Jan-21,08-Jan-21
80107058228,Wekaer sections colony,80107058228,08-Jan-21,08-Jan-21
80107058229,Swarna Giri Colony,80107058229,08-Jan-21,08-Jan-21
80107058230,Joidimetla,80107058230,08-Jan-21,08-Jan-21
80107059231,Venkatapuram,80107059231,08-Jan-21,08-Jan-21
80107059232,Tenugu gudemu,80107059232,08-Jan-21,08-Jan-21
80107059233,Double Bed Rooms House Colony,80107059233,08-Jan-21,08-Jan-21
80107060234,Korremula,80107060234,08-Jan-21,08-Jan-21
80107060235,Maktha village,80107060235,08-Jan-21,08-Jan-21
80107060236,Bacharam,80107060236,08-Jan-21,08-Jan-21
80107060237,Singaram x road area,80107060237,08-Jan-21,08-Jan-21
80107060238,Gandhi statue back,80107060238,08-Jan-21,08-Jan-21
80107061239,Block 1,80107061239,08-Jan-21,08-Jan-21
80107061240,Block 2,80107061240,08-Jan-21,08-Jan-21
80107061241,Block 3,80107061241,08-Jan-21,08-Jan-21
80107061242,PHC COLONY,80107061242,08-Jan-21,08-Jan-21
80107061243,PAKIR TANDA,80107061243,08-Jan-21,08-Jan-21
80107061244,INDIRA NAGAR,80107061244,08-Jan-21,08-Jan-21
80107062245,Annojiguda Village,80107062245,08-Jan-21,08-Jan-21
80107062246,"Lakshmi narasihma colony,",80107062246,08-Jan-21,08-Jan-21
80107062247,Sainagar colony,80107062247,08-Jan-21,08-Jan-21
80107062248,Vaibhav Nagar,80107062248,08-Jan-21,08-Jan-21
80107062249,LIG colony,80107062249,08-Jan-21,08-Jan-21
80107063250,Samskruthi Township.,80107063250,08-Jan-21,08-Jan-21
80107063251,A Block,80107063251,08-Jan-21,08-Jan-21
80107063252,B Block,80107063252,08-Jan-21,08-Jan-21
80107063253,C Block,80107063253,08-Jan-21,08-Jan-21
80107063254,D Block,80107063254,08-Jan-21,08-Jan-21
80107064255,pocharam old village,80107064255,08-Jan-21,08-Jan-21
80107064256,Sadbhavana Township,80107064256,08-Jan-21,08-Jan-21
80107064257,Anna nagar,80107064257,08-Jan-21,08-Jan-21
80107065258,Narapally ,80107065258,08-Jan-21,08-Jan-21
80107065259,Ambedkar colony,80107065259,08-Jan-21,08-Jan-21
80107065260,Vaibhav Nagar,80107065260,08-Jan-21,08-Jan-21
80107065261,Jodimetla,80107065261,08-Jan-21,08-Jan-21
80107065262,Baba Nagar,80107065262,08-Jan-21,08-Jan-21
80107066263,Prathapa singaram Old village,80107066263,08-Jan-21,08-Jan-21
80107066264,sadathaliguda,80107066264,08-Jan-21,08-Jan-21
80107066265,Ambedkar Nagar-1,80107066265,08-Jan-21,08-Jan-21
80107066266,Double Bed Rooms House Colony,80107066266,08-Jan-21,08-Jan-21
80107066267,Bharath club area,80107066267,08-Jan-21,08-Jan-21
80107067268,Kachaveni singaram old village,80107067268,08-Jan-21,08-Jan-21
80107067269,Maheshwari colony,80107067269,08-Jan-21,08-Jan-21
80107067270,Muttelli guda,80107067270,08-Jan-21,08-Jan-21
80107067271,Divya nagar,80107067271,08-Jan-21,08-Jan-21
80107067272,Balaji Nagar,80107067272,08-Jan-21,08-Jan-21
80108068273,Kondapur,80108068273,08-Jan-21,08-Jan-21
80108068274,EWS Colony,80108068274,08-Jan-21,08-Jan-21
80108068275,Prime Land colony,80108068275,08-Jan-21,08-Jan-21
80108068276,Gandhi Nagar,80108068276,08-Jan-21,08-Jan-21
80108068277,Balaji Nagar,80108068277,08-Jan-21,08-Jan-21
80108069278,ShivareddyGuda,80108069278,08-Jan-21,08-Jan-21
80108069279,Sai Nagar,80108069279,08-Jan-21,08-Jan-21
80108069280,Bugga Bhai Bhasthi,80108069280,08-Jan-21,08-Jan-21
80108069281,Maisamma Gutta,80108069281,08-Jan-21,08-Jan-21
80108069282,Yamnam pet,80108069282,08-Jan-21,08-Jan-21
80108070283,GHATKESAR Villege,80108070283,08-Jan-21,08-Jan-21
80108070284,BrookeBand Colony,80108070284,08-Jan-21,08-Jan-21
80108070285,Kummari Basti,80108070285,08-Jan-21,08-Jan-21
80108070286,Teachers Colony,80108070286,08-Jan-21,08-Jan-21
80108070287,Ambedkar Nagar,80108070287,08-Jan-21,08-Jan-21
80108071288,N.F.C Nagar - B1,80108071288,08-Jan-21,08-Jan-21
80108071289,N.F.C Nagar - B2,80108071289,08-Jan-21,08-Jan-21
80108071290,N.F.C Nagar - C2,80108071290,08-Jan-21,08-Jan-21
80108071291,Bokkani guda,80108071291,08-Jan-21,08-Jan-21
80108072292,MarpalliGuda - 1,80108072292,08-Jan-21,08-Jan-21
80108072293,MarpalliGuda - 2,80108072293,08-Jan-21,08-Jan-21
80108072294,Chandupatla guda,80108072294,08-Jan-21,08-Jan-21
80108073295,Harijana Basti,80108073295,08-Jan-21,08-Jan-21
80108073296,Gangaputhra Basti,80108073296,08-Jan-21,08-Jan-21
80108073297,Vanjara Basti,80108073297,08-Jan-21,08-Jan-21
80108073298,Diddi Kada Basti,80108073298,08-Jan-21,08-Jan-21
80108073299,Rain Gudem,80108073299,08-Jan-21,08-Jan-21
80108074300,avushapur,80108074300,08-Jan-21,08-Jan-21
80108074301,Harijana Basti,80108074301,08-Jan-21,08-Jan-21
80108074302,Jameela Pet,80108074302,08-Jan-21,08-Jan-21
80108075303,Ankushapur Gramam,80108075303,08-Jan-21,08-Jan-21
80108075304,SC Colony,80108075304,08-Jan-21,08-Jan-21
80108075305,BC Colony,80108075305,08-Jan-21,08-Jan-21
80108076306,Madaram,80108076306,08-Jan-21,08-Jan-21
80108077307,Anantharam,80108077307,08-Jan-21,08-Jan-21
80201001001,Mirjalguda,80201001001,08-Jan-21,08-Jan-21
80201001002,Veenapani Nagar,80201001002,08-Jan-21,08-Jan-21
80201001003,Madhusudhan Nagar,80201001003,08-Jan-21,08-Jan-21
80201001004,Yadav Nagar,80201001004,08-Jan-21,08-Jan-21
80201002005,Vasanthapuri Colony,80201002005,08-Jan-21,08-Jan-21
80201002006,Prem Viajay Nagar Colony,80201002006,08-Jan-21,08-Jan-21
80201002007,Venkateshwara Nagar,80201002007,08-Jan-21,08-Jan-21
80201003008,Maruthi Nagar,80201003008,08-Jan-21,08-Jan-21
80201003009,Geetha Nagar,80201003009,08-Jan-21,08-Jan-21
80201003010,Narasimha Reddy Nagar,80201003010,08-Jan-21,08-Jan-21
80201003011,Vani Nagar,80201003011,08-Jan-21,08-Jan-21
80201003012,Bhavani Nagar,80201003012,08-Jan-21,08-Jan-21
80201003013,Santosh Nagar,80201003013,08-Jan-21,08-Jan-21
80201004014,Old Malkajgiri,80201004014,08-Jan-21,08-Jan-21
80201004015,Bala Saraswathi Nagar,80201004015,08-Jan-21,08-Jan-21
80201004016,Sardar Patel Nagar,80201004016,08-Jan-21,08-Jan-21
80201005017,Dayanand Nagar,80201005017,08-Jan-21,08-Jan-21
80201005018,Uttam Nagar,80201005018,08-Jan-21,08-Jan-21
80201005019,Gautham Nagar,80201005019,08-Jan-21,08-Jan-21
80201005020,Ekalavya Nagar,80201005020,08-Jan-21,08-Jan-21
80201005021,Mallikarjuna Nagar,80201005021,08-Jan-21,08-Jan-21
80201006022,Gopal Nagar,80201006022,08-Jan-21,08-Jan-21
80201006023,Hanuman Pet,80201006023,08-Jan-21,08-Jan-21
80201006024,Jyothi Nagar,80201006024,08-Jan-21,08-Jan-21
80201007025,Indira Nehru Nagar,80201007025,08-Jan-21,08-Jan-21
80201008026,Radha Krishna Nagar,80201008026,08-Jan-21,08-Jan-21
80201008027,Chanakya Nagar,80201008027,08-Jan-21,08-Jan-21
80201009028,Anand Bhagh,80201009028,08-Jan-21,08-Jan-21
80201009029,VishnuPuri Colony,80201009029,08-Jan-21,08-Jan-21
80201009030,ShivaPuri Colony,80201009030,08-Jan-21,08-Jan-21
80201009031,Vimala Devi Nagar,80201009031,08-Jan-21,08-Jan-21
80201010032,Balaram Nagar,80201010032,08-Jan-21,08-Jan-21
80201010033,Krishna Nagar,80201010033,08-Jan-21,08-Jan-21
80201010034,Seetharam Nagar,80201010034,08-Jan-21,08-Jan-21
80201010035,Devi Nagar,80201010035,08-Jan-21,08-Jan-21
80201010036,Sharadha Nagar,80201010036,08-Jan-21,08-Jan-21
80201011037,Kalyan Nagar,80201011037,08-Jan-21,08-Jan-21
80201011038,Thalla Basthi,80201011038,08-Jan-21,08-Jan-21
80201011039,CIEFL Colony,80201011039,08-Jan-21,08-Jan-21
80201011040,NMDC Colony,80201011040,08-Jan-21,08-Jan-21
80201011041,BANK Colony,80201011041,08-Jan-21,08-Jan-21
80201011042,Krishna Nagar,80201011042,08-Jan-21,08-Jan-21
80201011043,DAD Colony,80201011043,08-Jan-21,08-Jan-21
80201012044,Anantha Saraswathi Nagar,80201012044,08-Jan-21,08-Jan-21
80201012045,Adarsh Nagar,80201012045,08-Jan-21,08-Jan-21
80201012046,Lal Vani Nagar,80201012046,08-Jan-21,08-Jan-21
80201012047,NMDC Colony,80201012047,08-Jan-21,08-Jan-21
80201013048,Hanuman Nagar,80201013048,08-Jan-21,08-Jan-21
80201013049,Thirumal Nagar,80201013049,08-Jan-21,08-Jan-21
80201013050,Sapthagiri Colony,80201013050,08-Jan-21,08-Jan-21
80201013051,RTC Colony,80201013051,08-Jan-21,08-Jan-21
80201014052,Upparguda,80201014052,08-Jan-21,08-Jan-21
80201014053,Pittala Basthi,80201014053,08-Jan-21,08-Jan-21
80201014054,Lepracy Colony,80201014054,08-Jan-21,08-Jan-21
80201014055,Shirdi Nagar,80201014055,08-Jan-21,08-Jan-21
80202015056,OLD LALAPET,80202015056,08-Jan-21,08-Jan-21
80202015057,LAXMINAGAR,80202015057,08-Jan-21,08-Jan-21
80202015058,YADAVNAGAR,80202015058,08-Jan-21,08-Jan-21
80202016059,NEW VINOBANAGAR,80202016059,08-Jan-21,08-Jan-21
80202016060,OLDVINOBANAGAR,80202016060,08-Jan-21,08-Jan-21
80202017061,INDIRANAGAR,80202017061,08-Jan-21,08-Jan-21
80202017062,SIRIPURICOLONY,80202017062,08-Jan-21,08-Jan-21
80202017063,SUBRAMANYASCOOL,80202017063,08-Jan-21,08-Jan-21
80202018064,PRASHANTH NAGAR,80202018064,08-Jan-21,08-Jan-21
80202018065,INDIRANAGAR,80202018065,08-Jan-21,08-Jan-21
80202019066,BJR NAGAR,80202019066,08-Jan-21,08-Jan-21
80202019067,PREMVIJAYANAGAR COLONY,80202019067,08-Jan-21,08-Jan-21
80202020068,VASANTHAPURICOLONY,80202020068,08-Jan-21,08-Jan-21
80202020069,SATTIREDDY NAGAR,80202020069,08-Jan-21,08-Jan-21
80202020070,CBN COLONY,80202020070,08-Jan-21,08-Jan-21
80202021071,ARYANAGAR,80202021071,08-Jan-21,08-Jan-21
80202021072,SHANTHINAGAR,80202021072,08-Jan-21,08-Jan-21
80202021073,BRAMHANA BASTI,80202021073,08-Jan-21,08-Jan-21
80202022074,RAILWAY CWATERS LEFT,80202022074,08-Jan-21,08-Jan-21
80202022075,RAMALAYAM,80202022075,08-Jan-21,08-Jan-21
80202023076,LALAGUDA,80202023076,08-Jan-21,08-Jan-21
80202023077,INDIRANAGAR,80202023077,08-Jan-21,08-Jan-21
80202024078,VIJYA PURI COLONY,80202024078,08-Jan-21,08-Jan-21
80202025079,CHINTAL,80202025079,08-Jan-21,08-Jan-21
80202026080,KIMTHI COLONY,80202026080,08-Jan-21,08-Jan-21
80203027081,NEREDMET,80203027081,08-Jan-21,08-Jan-21
80203027082,NEW VIDYA NAGAR,80203027082,08-Jan-21,08-Jan-21
80203027083,DINAKAR NAGAR,80203027083,08-Jan-21,08-Jan-21
